Type;Status;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name
Entrypoint;KEEP;DELETE /v2/notificationTokens/{token};Node;datastoreDeleteNotificationToken;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /v2/packs/{packKey}/archives/{archiveId};Node;medias;Node;readReferenceData;Node;deleteArchive;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /v2/profiles/{sourceSystem}/{functionalId}/pairing/{token};Node;datastoreDeleteNotificationToken;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /v2/rcuProfiles/{rcuAccountId};Node;anonymizeEaiAsynchronousProfiles;;;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteArchive;Node;datastoreDeleteArchive;;;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteProductReferencesHierarchy;Node;datastoreDeleteProductReferences;;;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteRecipe;Node;datastoreDeleteRecipe;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteRecipeAndVariants;Node;datastoreDeleteRecipeAndVariants;Node;crudIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteRecipeByUid;Node;datastoreRoute;Node;indexCreateSimple;;;;;;;;;;;;;;;;;;
Node;DELETE;deleteRecipeInSearchIndex;Node;indexDelete;;;;;;;;;;;;;;;;;;;;
Node;KEEP;deleteSemantizedRecipeError;Node;datastoreDelete;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;deleteTopRecipe;Node;datastoreCrud;Node;searchRemoveRecipe;;;;;;;;;;;;;;;;;;
Node;KEEP;denormalizeComments;Node;datastoreGenerateCommentPlain;;;;;;;;;;;;;;;;;;;;
Node;KEEP;denormalizeRecipes;Node;datastoreGenerateRecipePlain;;;;;;;;;;;;;;;;;;;;
Node;DELETE;differentiate;Node;differentiatorCompareRecipes;;;;;;;;;;;;;;;;;;;;
Node;DELETE;differentiatorCompareRecipes;Exitpoint;Differentiator Service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;doubleOptin;Node;datastoreDoubleOptin;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;dowloadAndUpload;Node;downloadFile;Node;medias;;;;;;;;;;;;;;;;;;
Node;VALIDATE;downloadFile;Exitpoint;Any Host;;;;;;;;;;;;;;;;;;;;
Node;KEEP;dsCreateDomainForReferenceDataType;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;duplicateApplianceGroup;Node;datastoreDuplicateApplianceGroup;;;;;;;;;;;;;;;;;;;;
Node;KEEP;eaiProfileIndexation;Node;crudIndexation;;;;;;;;;;;;;;;;;;;;
Node;KEEP;enrich;Exitpoint;semantic-service;Node;datastoreSearch;;;;;;;;;;;;;;;;;;
Node;DELETE;enrichDelete;Exitpoint;semantic-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;enrichmentAndIndexationAndDatastoreUpdate;Node;toSemanticAndSuggestion;;;;;;;;;;;;;;;;;;;;
Node;KEEP;enrichRecipe;Node;enrichmentAndIndexationAndDatastoreUpdate;;;;;;;;;;;;;;;;;;;;
Node;KEEP;exportDataRef;Exitpoint;data-refs-export-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;exportDataRefBatch;Node;exportDataRef;;;;;;;;;;;;;;;;;;;;
Node;KEEP;exportRecipes;Node;recipesExporter;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findAbacusesByIdentifier;Node;datastoreFindAbacusesByIdentifier;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findAndClassifyProfile;Node;datastoreFindAndClassifyProfile;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findAndIndex;Node;datastoreFindResources;Node;parallelIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;findByEmailInPerimeter;Node;searchProfile;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findByHouseholdAndDomains;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;DELETE;findByLoginInPerimeter;Node;searchProfile;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findByTopRecipeUidIndexationFormat;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findContentsLibraryByType;Node;datastoreFindContentsLibraryByType;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findContentsLibraryByTypeAndParent;Node;datastoreFindContentsLibraryByTypeAndParent;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findHouseholdByProfileId;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findOtherVariants;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findProfilePerimterByProfileUid;Node;datastoreProfilePerimeterByProfileUid;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findRecipePlains;Node;datastoreFindRecipePlains;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findRecipesByPack;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findSubprogramByHousehold;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findTemplateRecipes;Node;datastoreFindTemplateRecipes;;;;;;;;;;;;;;;;;;;;
Node;DELETE;findTopRecipeIdsByPack;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findUidRecipesByDomain;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;findVariantsUids;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;FirstIndexation;Node;findAndIndex;Node;loopIndexation;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalCreateDomainForReferenceDataType;Node;dsCreateDomainForReferenceDataType;;;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalGetOneReferenceDataAssociatedDomains;Node;datastoreGetOneReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalGetReferenceDataAssociatedDomains;Node;datastoreGetReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalGetReferenceDataLabelDomainMarketLang;Node;datastoreGetReferenceDataLabelDomainMarketLang;;;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalGetReferenceDataTargetDomains;Node;datastoreSearch;;;;;;;;;;;;;;;;;;;;
Node;KEEP;functionalUpdateReferenceDataAssociatedDomains;Node;datastoreUpdateReferenceDataAssociatedDomains;;;;;;;;;;;;;;;;;;;;
Node;KEEP;generatePackBinary;Node;preparePackBinary;Node;findRecipesByPack;Node;bineratorGeneratePackBinary;Node;uploadAndAttachBinary;;;;;;;;;;;;;;
Node;KEEP;generateRecipeBinary;Node;getRecipesByTopRecipe;Node;bineratorGenerateRecipeBinary;Node;uploadAndAttachBinary;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /adaptation/{sourceSystemKey}/{functionalId};Node;readRecipeAdaptations;;;;;;;;;;;;;;;;;;;;
Entrypoint;VALIDATE;GET /contents/{sourceSystem}/{functionalId}/hierarchy;Node;getContentTree;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /contents/librarys;Node;findContentsLibraryByType;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /contents/librarys/{parentSourceSystem}/{parentFunctionalId};Node;findContentsLibraryByTypeAndParent;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /households/{sourceSystem}/{functionalId}/members;Node;crudHouseholdMembers;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /households/{sourceSystem}/{functionalId}/subprograms;Node;findSubprogramByHousehold;Node;findByHouseholdAndDomains;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /packs/{packKey}/binaries;Node;rudBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /productReferences;Node;getProductReferencesHierarchy;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /productReferences/hierarchy;Node;getProductReferencesHierarchy;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /profiles/{sourceSystem}/{functionalId};Node;findHouseholdByProfileId;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /profiles/{sourceSystem}/{functionalId}/evaluations/all;Node;readEvaluationByUserId;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /profiles/{sourceSystem}/{functionalId}/export;Node;readExtendedProfile;;;;;;;;;;;;;;;;;;;;
Entrypoint;DELETE;GET /profiles/{sourceSystem}/{functionalId}/transactions;Node;getAllTransactions;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;GET /profiles/export;Node;profileExporter;;;;;;;;;;;;;;;;;;;;
